id,titer,exp,assayDate,dpi
r09033,208.7,IS-35,191127,0
r02135,195.4,IS-35,191127,0
r03055,242.1,IS-35,191127,0
rh2580,325.1,IS-35,191127,0
rh2581,278.1,IS-35,191127,0
r02071,343.2,IS-35,191127,0
r05072,417.5,IS-35,191127,0
r08026,417.6,IS-35,191127,0
r97104,444,IS-35,191127,0
rh2573,555.7,IS-35,191127,0
r04124,339.8,IS-49,191127,0
r07036,398.9,IS-49,191127,0
rhBE61,212.8,IS-49,191127,0
rhBB59,285.2,IS-49,191127,0
rhBC67,458.9,IS-49,191127,0
r07038,400.5,IS-49,191127,0
rhBD70,428.4,IS-49,191127,0
rhBE31,452.2,IS-49,191127,0
rhBE72,298.7,IS-49,191127,0
rhBE87,292.7,IS-49,191127,0
r04031,920.3,IS-82,191127,0
r99059,341.6,IS-82,191127,0
rh2014,644.8,IS-82,191127,0
rh2421,436,IS-82,191127,0
rh2541,563.4,IS-82,191127,0
r03144,468.7,IS-82,191127,0
r04115,477,IS-82,191127,0
r05057,499.3,IS-82,191127,0
r09044,164.2,IS-82,191127,0
rh2544,381.3,IS-82,191127,0
rh2686,277.2,IS-108,191127,0
rh2699,445.1,IS-108,191127,0
rh2687,661.3,IS-108,191127,0
rh2688,369.5,IS-108,191127,0
rh2691,445.8,IS-108,191127,0
rh2692,968.1,IS-108,191127,0
rh2693,438.7,IS-108,191127,0
rh2694,575,IS-108,191127,0
rh2696,376.3,IS-108,191127,0
rh2697,258.2,IS-108,191127,0
rh2685,2.819,IS-108,191127,0
rh2689,1.343,IS-108,191127,0
rhBJ03,92.1,IS-108,191127,0
rh2698,688.5,IS-108,191127,0
rhBI97,331.7,IS-108,191127,0
rhBJ37,357.7,IS-108,191127,0
rhBK68,517.5,IS-108,191127,0
rhBK70,241.8,IS-108,191127,0
rhBK89,8.787,IS-108,191127,0
rhBK90,415.8,IS-108,191127,0
rh2690,387.5,IS-108,191127,0
rh2695,0.346,IS-108,191127,0
rhBJ36,0.1371,IS-108,191127,0
rh2686,216.1,,190424,0
rh2699,187.6,,190424,0
rh2687,328.5,,190424,0
rh2688,589.5,,190424,0
rh2691,412.3,,190424,0
rh2692,323.1,,190424,0
rh2693,894.6,,190424,0
rh2694,366.3,,190424,0
rh2696,287.8,,190424,0
rh2697,891,,190424,0
rh2685,,,190424,0
rh2689,,,190424,0
rhBJ03,575.2,,190424,0
rh2698,391.8,,190424,0
rhBI97,614.7,,190424,0
rhBJ37,834,,190424,0
rhBK68,534.8,,190424,0
rhBK70,269,,190424,0
rhBK90,,,190424,0
rhBK89,420.4,,190424,0
rh2690,510.6,,190424,0
rh2695,,,190424,0
rhBJ36,,,190424,0
,,,,
rh2686,181,,190625,0
rh2699,169.6,,190625,0
rh2687,169.9,,190625,0
rh2688,233.5,,190625,0
rh2691,146.4,,190625,0
rh2692,194.7,,190625,0
rh2693,264.9,,190625,0
rh2694,125,,190625,0
rh2696,120.6,,190625,0
rh2697,188.2,,190625,0
rh2685,,,190625,0
rh2689,,,190625,0
rhBJ03,57.15,,190625,0
rh2698,163.5,,190625,0
rhBI97,127.4,,190625,0
rhBJ37,238,,190625,0
rhBK68,159.7,,190625,0
rhBK70,96.33,,190625,0
rhBK90,,,190625,0
rhBK89,123.4,,190625,0
rh2690,87.08,,190625,0
rh2695,,,190625,0
rhBJ36,,,190625,0
,,,,
rh2686,117.7,,190530,0
rh2699,227.2,,190530,0
rh2687,100.6,,190530,0
rh2688,146.4,,190530,0
rh2691,110.3,,190530,0
rh2692,168.1,,190530,0
rh2693,126.9,,190530,0
rh2694,130.2,,190530,0
rh2696,179.6,,190530,0
rh2697,101,,190530,0
rh2685,37.85,,190530,0
rh2689,42.3,,190530,0
,,,,
r09033,186.7,,171211,0
r02135,172.7,,171211,0
r03055,193.1,,171211,0
rh2580,419.2,,171211,0
rh2581,324.5,,171211,0
r02071,349.9,,171211,0
r05072,250.8,,171211,0
r08026,821.4,,171211,0
r97104,483.4,,171211,0
rh2573,368.9,,171211,0
r10061,,,171211,0
rh2582,,,171211,0
,,,,
r04124,75.32,,171211,0
r07036,252.4,,171211,0
rhBE61,200.7,,171211,0
rhBB59,262.4,,171211,0
rhBC67,336.1,,171211,0
r07038,476.1,,171211,0
rhBD70,383,,171211,0
rhBE31,173.1,,171211,0
rhBE72,332.1,,171211,0
rhBE87,281.8,,171211,0
rhBB23,,,171211,0
rhBD98,,,171211,0
,,,,
r04031,488.4,,171211,0
r99059,493.8,,171211,0
rh2014,568.1,,171211,0
rh2421,479.5,,171211,0
rh2541,599.6,,171211,0
r03144,608.7,,171211,0
r04115,490.2,,171211,0
r05057,329.1,,171211,0
r09044,113.5,,171211,0
rh2544,655.3,,171211,0
r99009,,,171211,0
rh2540,,,171211,0
,,,,
r09033,118.3,,171117,0
r02135,456,,171117,0
r03055,301.7,,171117,0
rh2580,143.4,,171117,0
rh2581,327.6,,171117,0
r02071,215.2,,171117,0
r05072,129.4,,171117,0
r08026,186.9,,171117,0
r97104,273.8,,171117,0
rh2573,184.3,,171117,0
r10061,,,171117,0
rh2582,,,171117,0
,,,,
r04124,136.4,,171117,0
r07036,415.4,,171117,0
rhBE61,131.1,,171117,0
rhBB59,178.1,,171117,0
rhBC67,188.6,,171117,0
r07038,385.6,,171117,0
rhBD70,436.4,,171117,0
rhBE31,178.2,,171117,0
rhBE72,426.6,,171117,0
rhBE87,206.1,,171117,0
rhBB23,,,171117,0
rhBD98,10.44,,171117,0
,,,,
r04031,224.1,,171117,0
r99059,9853,,171117,0
rh2014,362.2,,171117,0
rh2421,276.3,,171117,0
rh2541,2152,,171117,0
r03144,388.8,,171117,0
r04115,359.6,,171117,0
r05057,831.4,,171117,0
r09044,160.1,,171117,0
rh2544,315.1,,171117,0
r99009,5.844,,171117,0
rh2540,12.41,,171117,0
